iter	RMSE
0	19.18388463
1	17.30016754
2	15.64328464
3	14.19925128
4	12.94628012
5	11.85169817
6	10.90578108
7	10.10062531
8	9.414363377
9	8.832375633
10	8.341447758
11	7.934117529
12	7.593686053
13	7.31264735
14	7.081740567
15	6.895142538
16	6.743409368
17	6.619480536
18	6.52207548
19	6.443409566
20	6.380143599
21	6.329701171
22	6.288516097
23	6.256277777
24	6.230251645
25	6.209681099
26	6.192716004
27	6.179974765
28	6.169245837
29	6.160850512
30	6.154304398
31	6.148825083
32	6.144542453
33	6.140990416
34	6.138073667
35	6.135838235
36	6.133984332
37	6.132578147
38	6.131183695
39	6.129955965
40	6.129184897
41	6.128591204
42	6.127999116
43	6.127538743
44	6.126794522
45	6.126466932
46	6.126197518
47	6.125916431
48	6.12568789
49	6.125206471
50	6.124874163
51	6.124601013
52	6.124352736
53	6.124124591
54	6.123915182
55	6.123759935
56	6.123430181
57	6.123239913
58	6.123091546
59	6.122889051
60	6.122779496
61	6.122665477
62	6.122598519
63	6.122383445
64	6.122264628
65	6.12214562
66	6.121974269
67	6.12186693
68	6.121764297
69	6.121689843
70	6.121637535
71	6.121485325
72	6.121419402
73	6.121331243
74	6.121272734
75	6.12116889
76	6.121066647
77	6.120988042
78	6.120926785
79	6.120891207
80	6.120853087
81	6.120802225
82	6.120750148
83	6.120696974
84	6.120610757
85	6.120526139
86	6.120471722
87	6.120391175
88	6.120344232
89	6.120330148
90	6.120285079
91	6.120239648
92	6.120199893
93	6.120132814
94	6.120123587
95	6.120042394
96	6.119982509
97	6.119934894
98	6.119860906
99	6.119846242
100	6.119821991
101	6.119780473
102	6.119735076
103	6.119716458
104	6.11964356
105	6.119592872
106	6.119555355
107	6.119491703
108	6.119472445
109	6.119453494
110	6.119373143
111	6.119357797
112	6.119342391
113	6.119320933
114	6.119255466
115	6.119215823
116	6.119175606
117	6.119151868
118	6.119109563
119	6.119074784
120	6.119054881
121	6.119026411
122	6.118991689
123	6.118971382
124	6.118915927
125	6.118857736
126	6.118819618
127	6.118738166
128	6.11871897
129	6.118649193
130	6.118634928
131	6.118606295
132	6.118594644
133	6.118544087
134	6.118498406
135	6.118413476
136	6.118331712
137	6.118285651
138	6.118216078
139	6.118179641
140	6.118127981
141	6.118115242
142	6.118062637
143	6.118004659
144	6.117962129
145	6.11794377
146	6.117907366
147	6.117848638
148	6.117814717
149	6.117802015
150	6.117754116
151	6.117744132
152	6.117726687
153	6.117682055
154	6.117662357
155	6.117633888
156	6.117613764
157	6.117584647
158	6.117523154
159	6.117514736
160	6.117477453
161	6.117470988
162	6.117428735
163	6.1174159
164	6.11736827
165	6.117335082
166	6.11730343
167	6.117296808
168	6.117267777
169	6.117236031
170	6.117171323
171	6.117140936
172	6.117107634
173	6.117070182
174	6.11706008
175	6.11705401
176	6.117049359
177	6.1169968
178	6.116974785
179	6.116934185
180	6.116909267
181	6.116884352
182	6.116875261
183	6.116862158
184	6.116828981
185	6.116809375
186	6.11678763
187	6.116770544
188	6.116753019
189	6.116713893
190	6.116669924
191	6.11665897
192	6.11665524
193	6.11665231
194	6.116642467
195	6.116614623
196	6.116585346
197	6.11657656
198	6.116557098
199	6.116531403
200	6.116528935
201	6.116511784
202	6.11649812
203	6.11647591
204	6.116458493
205	6.116435016
206	6.11642947
207	6.116397501
208	6.116380731
209	6.116378396
210	6.116360084
211	6.116348136
212	6.116329592
213	6.116315625
214	6.116290749
215	6.116273486
216	6.1162403
217	6.116230145
218	6.116207682
219	6.116191924
220	6.116163892
221	6.116150997
222	6.116140021
223	6.116130995
224	6.116123814
225	6.116098917
226	6.116084356
227	6.116076382
228	6.116051585
229	6.116035431
230	6.116021883
231	6.116012911
232	6.116009009
233	6.116005064
234	6.115990615
235	6.115979565
236	6.115970653
237	6.115949908
238	6.115931466
239	6.115922068
240	6.115908845
241	6.115905567
242	6.115895272
243	6.115881029
244	6.115871149
245	6.115868773
