iter	Passed	Remaining
0	505	505293
1	1099	548882
2	1509	501568
3	2197	547089
4	2803	557822
5	3295	545945
6	3606	511574
7	4194	520141
8	4896	539143
9	6095	603436
10	6999	629308
11	7312	602087
12	7718	585976
13	8110	571212
14	8510	558841
15	8809	541774
16	9211	532635
17	9516	519175
18	9908	511611
19	10406	509942
20	10807	503829
21	11307	502682
22	11709	497399
23	12603	512562
24	12904	503263
25	13299	498202
26	13805	497502
27	14495	503202
28	15107	505840
29	15495	501013
30	16103	503366
31	16496	499020
32	16893	495018
33	17198	488651
34	17790	490521
35	18591	497832
36	18990	494273
37	19697	498658
38	20394	502534
39	20793	499034
40	21203	495965
41	21987	501530
42	22300	496318
43	22992	499573
44	23885	506902
45	24196	501812
46	24504	496874
47	25011	496053
48	25704	498886
49	26003	494059
50	26393	491123
51	26991	492069
52	27690	494774
53	28001	490542
54	28405	488052
55	29111	490734
56	29611	489895
57	30510	495531
58	31006	494528
59	31614	495289
60	32418	499029
61	32809	496373
62	33404	496828
63	33819	494611
64	34414	495038
65	35002	495344
66	35611	495905
67	36008	493532
68	36402	491175
69	36611	486410
70	37207	486845
71	37601	484640
72	37904	481340
73	38298	479246
74	38810	478668
75	39198	476572
76	39411	472430
77	39708	469376
78	40207	468753
79	41221	474047
80	41715	473288
81	42321	473796
82	42915	474133
83	43410	473377
84	44002	473679
85	44705	475124
86	45301	475410
87	45803	474693
88	46211	473023
89	47101	476247
90	47908	478557
91	48300	476708
92	48706	475016
93	49114	473384
94	49805	474461
95	50397	474579
96	51095	475662
97	51506	474067
98	52004	473297
99	52594	473348
100	52995	471711
101	53297	469229
102	53698	467644
103	54097	466067
104	54790	467027
105	55201	465567
106	55694	464817
107	56098	463330
108	56600	462668
109	56997	461161
110	57388	459623
111	57797	458249
112	58292	457572
113	58689	456130
114	59084	454695
115	59499	453429
116	59889	451984
117	60500	452218
118	60799	450119
119	61190	448733
120	61683	448095
121	62192	447580
122	62781	447634
123	63194	446441
124	63889	447228
125	64382	446591
126	64892	446071
127	65290	444789
128	65705	443636
129	66096	442338
130	66801	443135
131	67291	442489
132	67702	441339
133	68094	440075
134	68598	439540
135	68795	437053
136	69386	437082
137	69694	435338
138	70296	435436
139	70789	434849
140	71290	434316
141	71982	434935
142	72382	433790
143	72888	433282
144	73488	433326
145	73976	432710
146	74483	432207
147	74977	431627
148	75385	430555
149	75778	429410
150	76378	429439
151	76971	429421
152	77480	428930
153	78188	429530
154	78781	429487
155	79093	427914
156	79389	426278
157	80078	426746
158	80384	425179
159	80776	424076
160	81176	423024
161	81775	423012
162	82084	421502
163	82498	420543
164	82988	419974
165	83594	419987
166	84190	419946
167	84599	418967
168	85182	418856
169	85489	417389
170	86089	417357
171	86879	418234
172	87279	417225
173	87578	415747
174	87887	414329
175	88484	414270
176	88783	412816
177	89388	412796
178	90180	413621
179	90577	412632
180	91185	412599
181	91983	413422
182	92471	412838
183	92970	412304
184	93569	412211
185	94180	412165
186	94779	412062
187	95176	411082
188	95482	409717
189	95885	408776
190	96693	409555
191	97291	409433
192	97797	408926
193	98385	408755
194	98888	408233
195	99280	407254
196	99787	406748
197	100278	406180
198	100594	404906
199	101378	405512
200	101780	404589
201	102583	405253
202	103080	404704
203	103575	404147
204	104172	403985
205	104776	403847
206	105480	404085
207	106072	403890
208	106674	403729
209	107265	403522
210	107766	402974
211	108264	402416
212	108660	401483
213	108971	400240
214	109380	399364
215	109790	398497
216	110383	398297
217	111080	398463
218	111683	398287
219	112284	398100
220	112875	397874
221	113475	397676
222	113979	397139
223	114572	396912
224	115170	396697
225	115776	396510
226	116477	396639
227	116964	396036
228	117373	395174
229	118080	395314
230	118861	395690
231	119475	395504
232	120070	395252
233	120361	394004
234	120864	393452
235	121460	393203
236	121861	392323
237	122271	391475
238	123268	392499
239	123955	392526
240	124560	392288
241	125065	391734
242	125667	391483
243	125869	389987
244	126065	388487
245	126760	388525
